,name,domains
0,Cégep de Saint-Jérôme,['cstj.qc.ca']
1,Lambton College,"['lambtoncollege.ca', 'mylambton.ca']"
2,Acadia University,['acadiau.ca']
3,Algonquin College,['algonquincollege.com']
4,Ashton College,['ashtoncollege.com']
5,Assumption University,['assumptionu.ca']
6,Athabasca University,['athabascau.ca']
7,Augustana University College,['augustana.ab.ca']
8,British Columbia Institute of Technology,['bcit.ca']
9,British Columbia Open University,['bcou.ca']
10,William and Catherine Booth College,['boothcollege.ca']
11,Collège Boréal,['borealc.on.ca']
12,Bow Valley College,['bowvalleycollege.ca']
13,Brandon University,['brandonu.ca']
14,Brock University,['brocku.ca']
15,DeVry Institute of Technology,['cal.devry.ca']
16,Camosun College,['camosun.bc.ca']
17,Capilano College,['capcollege.bc.ca']
18,University College of the Cariboo,['cariboo.bc.ca']
19,Carleton University,['carleton.ca']
20,Canadian College of Business & Computers,['ccbc.ca']
21,Centennial College,['centennialcollege.ca']
22,Canadian Mennonite University,['cmu.ca']
23,College of New Caledonia,['cnc.bc.ca']
24,Columbia College,['columbiacollege.ca']
25,Concordia University College of Alberta,['concordia.ab.ca']
26,Concordia University,['concordia.ca']
27,Conestoga College,['conestogac.on.ca']
28,College of the Rockies,['cotr.bc.ca']
29,"University of Moncton, Shippagan",['cus.ca']
30,"University of Moncton, Edmundston",['cuslm.ca']
31,Dalhousie University,['dal.ca']
32,Douglas College,['douglas.bc.ca']
33,Durham College,['dcmail.ca']
34,Emily Carr Institute of Art + Design,['eciad.bc.ca']
35,"École nationale d'administration publique, Université du Québec",['enap.uquebec.ca']
36,"École de technologie supérieure, Université du Québec",['etsmtl.ca']
37,First Nations University of Canada,['firstnationsuniversity.ca']
38,George Brown College,['gbrownc.on.ca']
39,École des Hautes Études Commerciales,['hec.ca']
40,Humber College,"['humber.ca', 'humbermail.ca']"
41,Huron University College,['huronuc.on.ca']
42,"Institut Armand-Frappier, Université du Québec",['iaf.inrs.ca']
43,"Institut National de la Recherche Scientifique, Université du Québec",['inrs.uquebec.ca']
44,Kingston College,['kingston.edu']
45,King's University College,['kingsu.ab.ca']
46,Kwantleen University College,['kwantlen.bc.ca']
47,Lakehead University,['lakeheadu.ca']
48,Langara College,"['langara.bc.ca', 'langara.ca']"
49,Lansbridge University,['lansbridge.com']
50,Laurentian University of Sudbury,['laurentian.ca']
51,MacEwan University,['macewan.ca']
52,Malaspina University College,['mala.bc.ca']
53,McGill University,['mcgill.ca']
54,McMaster University,['mcmaster.ca']
55,Mount Saint Vincent University,['msvu.ca']
56,Mount Allison University,['mta.ca']
57,Mount Royal University,['mtroyal.ca']
58,Northern Alberta Institute of Technology,['nait.ca']
59,North Island College,['nic.bc.ca']
60,Nipissing University,['nipissingu.ca']
61,Northern Lights College,['nlc.bc.ca']
62,Nova Scotia Agricultural College,['nsac.ns.ca']
63,Nova Scotia College of Art and Design,['nscad.ns.ca']
64,Nicola Valley Institute of Technology,['nvit.bc.ca']
65,Ontario College of Art and Design,['ocad.ca']
66,Okanagan University College,['okanagan.bc.ca']
67,Dominican College of Philosophy and Theology,['op.org']
68,Pacific International College,['picollege.ca']
69,"École Polytechnique de Montréal, Université de Montréal",['polymtl.ca']
70,Queen's University,['queensu.ca']
71,Quest University,['questu.ca']
72,Redeemer College,['redeemer.ca']
73,Regent College,['regent-college.edu']
74,Royal Military College of Canada,['rmc.ca']
75,Royal Roads University,['royalroads.ca']
76,Ryerson Polytechnic University,['ryerson.ca']
77,Southern Alberta Institute of Technology,['sait.ca']
78,Luther College,['saskweb.com']
79,Sauder School of Business,['sauder.ubc.ca']
80,"University of Toronto, Scarborough",['scar.utoronto.ca']
81,Selkirk College,['selkirk.bc.ca']
